load_class,shape_label,n_elements,variant_id,block_size,warps,isolated_ms,background_only_ms,step_ms,overlap_ratio
idle,large,16777216,B1024_W4,1024,4,0.1703046758969625,0.0,0.14369799693425497,0.0
compute,large,16777216,B1024_W4,1024,4,0.1703046758969625,0.11289667089780171,0.26421332359313965,0.06704778567096703
memory,large,16777216,B1024_W4,1024,4,0.1703046758969625,0.42510934670766193,0.6021973292032877,-0.011392587915531216
idle,large,16777216,B1024_W8,1024,8,0.1422719955444336,0.0,0.16689066092173258,0.0
compute,large,16777216,B1024_W8,1024,8,0.1422719955444336,0.11289667089780171,0.2594626744588216,-0.016828116384573377
memory,large,16777216,B1024_W8,1024,8,0.1422719955444336,0.42510934670766193,0.5736960172653198,-0.011129507692585916
idle,large,16777216,B2048_W4,2048,4,0.14229333400726318,0.0,0.16249600052833557,0.0
compute,large,16777216,B2048_W4,2048,4,0.14229333400726318,0.11289667089780171,0.29156267642974854,-0.14253172469750508
memory,large,16777216,B2048_W4,2048,4,0.14229333400726318,0.42510934670766193,0.643776019414266,-0.1346016529268259
idle,large,16777216,B2048_W8,2048,8,0.14222932855288187,0.0,0.16057599584261575,0.0
compute,large,16777216,B2048_W8,2048,8,0.14222932855288187,0.11289667089780171,0.2768393357594808,-0.08510828514360957
memory,large,16777216,B2048_W8,2048,8,0.14222932855288187,0.42510934670766193,0.628437320391337,-0.10769342510050861
idle,large,16777216,B4096_W4,4096,4,0.16797866423924765,0.0,0.14252866307894388,0.0
compute,large,16777216,B4096_W4,4096,4,0.16797866423924765,0.11289667089780171,0.26715733607610065,0.048840169800795086
memory,large,16777216,B4096_W4,4096,4,0.16797866423924765,0.42510934670766193,0.6027139822642008,-0.016230257802585912
idle,large,16777216,B4096_W8,4096,8,0.15965867042541504,0.0,0.16360533237457275,0.0
compute,large,16777216,B4096_W8,4096,8,0.15965867042541504,0.11289667089780171,0.26792534192403156,0.016987373561300312
memory,large,16777216,B4096_W8,4096,8,0.15965867042541504,0.42510934670766193,0.6210560003916422,-0.06205534877997132
idle,large,16777216,B8192_W4,8192,4,0.14244266351064047,0.0,0.14404267072677612,0.0
compute,large,16777216,B8192_W4,8192,4,0.14244266351064047,0.11289667089780171,0.250385324160258,0.019401672913659795
memory,large,16777216,B8192_W4,8192,4,0.14244266351064047,0.42510934670766193,0.5661646525065104,0.0024444591628851597
idle,large,16777216,B8192_W8,8192,8,0.14327466487884521,0.0,0.14436333378156027,0.0
compute,large,16777216,B8192_W8,8192,8,0.14327466487884521,0.11289667089780171,0.2523306608200073,0.014992602294849333
memory,large,16777216,B8192_W8,8192,8,0.14327466487884521,0.42510934670766193,0.5653560161590576,0.005327376150144558
